DL. Casper Loop
Lat,Lon,Distance,Azimuth,Elevation,Cloud Cover,Wind Direction,Wind Speed
42.86721,-106.337497,0,8.093760681937109,494.37204395904,1,221.0,41.0
42.867545,-106.337432,37.625086121094775,276.64360757119783,494.45559963648003,1,221.0,41.0
42.867587,-106.337924,77.99310511335462,278.5009917531818,494.55340366540497,1,221.0,41.0
42.86775,-106.339412,200.60874306915713,187.18679115560124,492.85291929599396,1,221.0,41.0
42.867564,-106.339444,221.45477433557735,187.09179832522878,493.095311081472,1,221.0,41.0
42.866209,-106.339674,373.28543648361034,183.11097025181445,492.1259418401311,1,221.0,41.0
42.865737,-106.339709,425.8469012167137,169.39835437258265,492.252,1,221.0,41.0
42.865318,-106.339602,473.2466810857493,162.1286147885441,491.7306700800031,1,221.0,41.0
42.864852,-106.339397,527.6905329645615,148.7983402553501,489.8562103572541,1,221.0,41.0
42.864472,-106.339083,577.0902655809517,136.27550532260497,487.70913888000007,1,221.0,41.0
42.864062,-106.338548,640.1753154771872,123.61628474450664,485.59540910898596,1,221.0,41.0
42.863832,-106.338076,686.3700766615192,115.80123537277579,484.999223039997,1,221.0,41.0
42.863714,-106.337743,716.5158142322914,107.33973080355881,484.86474527999695,1,221.0,41.0
42.863622,-106.337341,750.8399406985733,101.2810304493434,484.5588596067749,1,221.0,41.0
42.86351,-106.336575,814.5013980067929,93.45122227528077,482.3349540479909,1,221.0,41.0
42.863481,-106.335919,868.0646929709658,88.94958798696297,480.1492620699002,1,221.0,41.0
42.863497,-106.334728,965.1513919896219,91.33589446277198,480.36740440627204,1,222.0,41.0
42.863493,-106.334494,984.2283414111957,91.40291671398955,480.40226338252495,1,222.0,41.0
42.863483,-106.333937,1029.639280249437,105.67511546874417,479.4688952152503,1,222.0,41.0
42.863389,-106.33348,1068.3250926949695,125.90389510991037,478.89133242625223,1,222.0,41.0
42.86319,-106.333105,1106.0581888222298,141.45952676177984,480.64760807037567,1,222.0,41.0
42.862948,-106.332842,1140.4614514454513,157.5767915685947,480.6908140800092,1,222.0,41.0
42.862678,-106.33269,1172.939698774602,170.224132719244,479.4154743091261,1,222.0,41.0
42.862427,-106.332631,1201.2608610439063,180.24067284705538,478.58318304000306,1,222.0,41.0
42.861729,-106.332635,1278.8756045689615,180.57046088070763,475.3798569599817,1,222.0,41.0
42.859594,-106.332664,1516.2885398594647,177.43034399970517,475.28967536947204,1,222.0,41.0
42.859447,-106.332655,1532.6506468876535,184.1062928360599,475.05252199872615,1,222.0,41.0
42.859253,-106.332674,1554.277981486852,192.0761662754045,474.85925856000006,1,222.0,41.0
42.859044,-106.332735,1578.0436452080612,200.93719561041564,474.85218915072005,1,222.0,41.0
42.858839,-106.332842,1602.4500916813308,203.8428634000656,474.990955471101,1,222.0,41.0
42.858494,-106.33305,1644.3917234552357,270.0000002485995,475.1832,1,222.0,41.0
42.858494,-106.333051,1644.47323332111,203.5731595401555,475.1832,1,222.0,41.0
42.85841,-106.333101,1654.664025806807,205.6137265313611,475.19696281728005,1,222.0,41.0
42.858173,-106.333256,1683.8891992758558,208.094566850135,475.134220932099,1,222.0,41.0
42.85722,-106.33395,1804.011566517551,207.42942367213814,475.795774848003,1,222.0,41.0
42.85697,-106.334127,1835.3312783108108,199.27214129996094,476.30679570048306,1,222.0,41.0
42.856666,-106.334272,1871.1412620084461,199.1675190266797,476.51679451237794,1,222.0,41.0
42.856453,-106.334373,1896.2158447958107,195.37084163634677,476.334052184448,1,222.0,41.0
42.856253,-106.334448,1919.2798158832325,198.90213792795095,475.80978452890207,1,222.0,41.0
42.856101,-106.334519,1937.144844860999,202.8191238321321,475.343838817152,1,222.0,41.0
42.855932,-106.334616,1957.5324436596381,211.61451450710635,475.4383089192929,1,222.0,41.0
42.855801,-106.334726,1974.6374569284442,221.74676501385437,475.4958080494141,1,222.0,41.0
42.855686,-106.334866,1991.7765713703984,228.33067217425705,475.7198506798141,1,222.0,41.0
42.855579,-106.33503,2009.6726261439333,234.53494058333382,475.84866520704304,1,222.0,41.0
42.855438,-106.3353,2036.6948203215238,237.67579736722723,475.96860864,1,222.0,41.0
42.854629,-106.337044,2204.926820555299,225.21121116970696,477.1697276114255,1,222.0,41.0
42.854474,-106.337257,2229.391412967528,213.6981957532601,477.25214543384993,1,222.0,41.0
42.854319,-106.337398,2250.1075096956897,201.65748685286144,476.95293814805945,1,222.0,41.0
42.854151,-106.337489,2270.2071542943,192.8523513107743,476.3459206575482,1,222.0,41.0
42.853955,-106.33755,2292.5614100650077,181.68807750499113,475.909136064,1,222.0,41.0
42.853756,-106.337558,2314.698807809913,173.91335705168737,475.90542052761907,1,222.0,41.0
42.852711,-106.337406,2431.5562566544572,176.43821096819812,475.25647392,1,222.0,41.0
42.852287,-106.33737,2478.79415049438,173.39173291901454,475.488,1,222.0,41.0
42.851882,-106.337306,2524.129292724915,173.38136625337606,475.9298380799939,1,222.0,41.0
42.851326,-106.337218,2586.3684715832073,173.15160501655097,476.0296421821471,1,222.0,41.0
42.84864,-106.336778,2887.184228050899,179.0206616690799,476.3309295206522,1,222.0,41.0
42.848254,-106.336769,2930.1117403880676,179.02318972356667,476.68196256000004,1,222.0,41.0
42.848125,-106.336766,2944.457970758988,181.48595774071347,476.82680352,1,222.0,41.0
42.847588,-106.336785,3004.189733357187,183.67538576650003,475.71357833472916,1,222.0,41.0
42.846926,-106.336843,3077.952484764596,180.15220223197898,473.964,1,221.0,41.0
42.84665,-106.336844,3108.642392801863,178.91102753789386,473.9889009408061,1,221.0,41.0
42.84611,-106.33683,3168.698499919274,182.27901403255277,475.4885023104,1,221.0,41.0
42.845631,-106.336856,3222.0030318841054,182.22515888568958,475.80706464000616,1,221.0,41.0
42.845197,-106.336879,3270.298045981547,181.97610834350812,476.3257999561021,1,221.0,41.0
42.845112,-106.336883,3279.755238998493,183.7706388428633,476.48859373363206,1,221.0,41.0
42.845023,-106.336891,3289.6730565467938,182.55624662655998,476.66158080346213,1,221.0,41.0
42.844596,-106.336917,3337.200583610019,182.71022982887067,476.56869888000307,1,221.0,41.0
42.843899,-106.336962,3414.7902345254633,182.04375901077123,476.36527565260803,1,221.0,41.0
42.842584,-106.337026,3561.104634385434,181.77453968375565,476.91982847999697,1,221.0,41.0
42.8423,-106.337038,3592.6991455918374,179.3610696907178,476.8664567808061,1,221.0,41.0
42.841511,-106.337026,3680.4373979151014,179.83546286718246,476.2684099200031,1,221.0,41.0
42.840745,-106.337023,3765.6130629306385,179.62894178564562,476.98458921408,1,221.0,41.0
42.839726,-106.337014,3878.9230693020213,181.53804626310117,476.70409269811205,1,221.0,41.0
42.838579,-106.337056,4006.509615904788,179.29146518696066,478.67255800781106,1,221.0,41.0
42.837571,-106.337039,4118.602672602941,180.08134513502168,479.295258701952,1,221.0,41.0
42.836538,-106.337041,4233.467147588212,179.51428471415244,480.7048348800031,1,221.0,41.0
42.835673,-106.337031,4329.654215315006,181.29655298885774,481.2792,1,221.0,41.0
42.835511,-106.337036,4347.6724065736935,178.1658824420618,481.3608657223742,1,221.0,41.0
42.835282,-106.337026,4373.149096964897,177.97868953313716,481.7914050370621,1,221.0,41.0
42.835095,-106.337017,4393.9554944180845,237.17880379460485,482.2103030399909,1,221.0,41.0
42.83506,-106.337091,4401.135720224702,249.92168308365478,482.2059139200031,1,221.0,41.0
42.835008,-106.337285,4417.978265881334,232.60785022005825,482.17604351999694,1,221.0,41.0
42.834568,-106.33807,4498.544920152042,232.5948359545096,482.06507486208307,1,221.0,41.0
42.834365,-106.338432,4535.704524944482,229.53237700490544,482.38903776,1,221.0,41.0
42.833725,-106.339455,4645.353593673036,230.50133827169253,482.49365121600005,1,222.0,41.0
42.833106,-106.340479,4753.565289064196,230.022720299033,483.34405204301106,1,222.0,41.0
42.832477,-106.341502,4862.425782934767,228.97477343873186,482.9319986288701,1,222.0,41.0
42.832135,-106.342038,4920.361542583931,230.85960073758753,483.2106566400031,1,222.0,41.0
42.831984,-106.342291,4946.961345166197,235.54650158642409,483.4990151915551,1,222.0,41.0
42.831824,-106.342609,4978.409055898302,239.33765928458297,483.83720351999693,1,222.0,41.0
42.831734,-106.342816,4998.032509516853,242.51606980937822,484.0224,1,222.0,41.0
42.83147,-106.343508,5061.64083190483,243.20469333563568,483.04727798784916,1,222.0,41.0
42.83143,-106.343616,5071.507175687124,249.78637595752997,482.90176793087085,1,222.0,41.0
42.83113,-106.344727,5168.050793061649,252.653198560803,481.93478237184917,1,222.0,41.0
42.831078,-106.344954,5187.443786084826,252.63285126030812,482.25813820570517,1,222.0,41.0
42.830814,-106.346105,5285.786993445127,253.2514530658577,482.25817565953224,1,222.0,41.0
42.830115,-106.349272,5555.488442051397,252.79812047179905,482.88153701376007,1,222.0,41.0
42.829885,-106.350285,5641.9643658592595,254.45244502885566,482.02427506560304,1,222.0,41.0
42.829663,-106.351373,5734.058370790724,252.2169473835608,481.3579008718172,1,222.0,41.0
42.829456,-106.352253,5809.421649913876,251.05763029897713,480.3324330685379,1,222.0,41.0
42.829345,-106.352694,5847.443517632578,250.72612893759566,480.08754562944614,1,222.0,41.0
42.829196,-106.353275,5897.636447958543,244.23741896246025,480.3397381248,1,222.0,41.0
42.828578,-106.355021,6055.736282147817,244.21922666791835,480.3550464000153,1,222.0,41.0
42.827906,-106.356918,6227.537328473502,242.5901428956452,479.129977268733,1,222.0,42.0
42.827531,-106.357904,6318.114930713424,244.93629704012199,479.04111455999396,1,222.0,42.0
42.826833,-106.359939,6501.323983316473,241.59720094008907,479.8038460799939,1,222.0,42.0
42.826576,-106.360587,6561.401478878317,240.24825223904222,480.2653132800031,1,222.0,42.0
42.826384,-106.361045,6604.42339553999,240.55515764405055,480.2881698662431,1,222.0,42.0
42.826071,-106.361801,6675.222348445509,238.4851157866795,479.5637856000001,1,222.0,42.0
42.825995,-106.36197,6691.38932098417,238.3110484273472,479.2786317888,1,222.0,42.0
42.825832,-106.36233,6725.892364720483,236.44359868037108,478.8437260800031,1,222.0,42.0
42.825526,-106.362959,6787.448202281536,230.17609443854,479.76647291826896,1,222.0,42.0
42.825104,-106.363649,6860.717746815813,229.1705579450711,480.34281421515584,1,222.0,42.0
42.824796,-106.364135,6913.099859237053,225.9274959645748,480.8727557836739,1,222.0,42.0
42.823101,-106.366522,7184.062036102514,226.89621102160248,480.874669439997,1,222.0,42.0
42.822442,-106.367482,7291.298455525349,226.87052262498148,481.880551965693,1,222.0,42.0
42.82224,-106.367776,7324.153505932426,232.82193688486186,482.1916492800061,1,222.0,42.0
42.822072,-106.368078,7355.066770646555,231.43312810295237,481.725973791741,1,222.0,42.0
42.821231,-106.369516,7505.066433282732,231.42363756477081,481.24238016000004,1,222.0,42.0
42.821145,-106.369663,7520.402242718285,239.53816409988116,481.26981215999393,1,222.0,42.0
42.820601,-106.370924,7639.718864069004,243.90251148618,480.50903077476573,1,222.0,42.0
42.819149,-106.374965,8006.727740693799,244.57768118360136,481.81687549056613,1,222.0,42.0
42.81687,-106.381501,8596.991552007486,244.22650207606264,485.27456863104,1,222.0,42.0
42.816321,-106.383051,8737.384378773153,244.22415720863825,485.0200688728412,1,222.0,42.0
42.815677,-106.384869,8902.056547242406,243.6774403289785,485.3672894737981,1,222.0,42.0
42.813948,-106.389633,9335.603193345618,245.79297232264506,488.529538559997,1,223.0,42.0
42.813451,-106.39114,9470.378986374884,248.44210728279774,489.17569797887694,1,222.0,43.0
42.812727,-106.393638,9689.467425502335,251.90345325112003,490.0352795282042,1,222.0,43.0
42.812336,-106.395269,9829.432816207789,249.29194183619398,489.09447214387205,1,222.0,43.0
