D. Gering to Casper
Lat,Lon,Distance,Azimuth,Elevation,Cloud Cover,Wind Direction,Wind Speed
42.356846,-104.99826,154049.96934313414,57.54243128418989,454.203949624317,32,265.0,31.0
42.356987,-104.99796,154079.18354504136,52.28555341541779,454.3519488000061,32,265.0,31.0
42.357187,-104.99761,154115.53809854775,48.93161262834817,453.59970239998177,32,265.0,31.0
42.357536,-104.997068,154174.60898331512,47.11410520317422,451.64480902962595,32,265.0,31.0
42.358304,-104.995949,154300.09498662164,46.9436101673889,450.78041573682896,32,265.0,31.0
42.359457,-104.994279,154487.88721078687,47.28701880558961,451.72737696,32,265.0,31.0
42.360455,-104.992816,154651.48634302494,47.441441006977286,452.7273072537661,32,265.0,31.0
42.360972,-104.992054,154736.48467184618,44.774299950374186,452.7204411095071,32,265.0,31.0
42.361185,-104.991768,154769.84852824794,44.32943549947385,452.82160896000613,32,265.0,31.0
42.361362,-104.991534,154797.36229541263,40.78664415711414,452.93280000000004,32,265.0,31.0
42.361535,-104.991332,154822.7691624271,35.822533867537054,452.7396406809539,32,265.0,31.0
42.361708,-104.991163,154846.49380060058,31.936140189950585,452.32631022796807,32,265.0,31.0
42.361887,-104.991012,154869.9477329448,25.338566767986485,451.99517004594594,32,265.0,31.0
42.362029,-104.990921,154887.41816498086,23.05190043772695,451.78051315852804,32,265.0,31.0
42.36222,-104.990811,154910.49942826005,17.338889813299453,451.71379604736,32,265.0,31.0
42.362433,-104.990721,154935.31144078923,13.836457100864065,451.57584829785907,32,265.0,31.0
42.362619,-104.990659,154956.61178591382,8.046942432847915,451.4695161600031,32,265.0,31.0
42.362896,-104.990606,154987.71907326506,1.003894434441229,451.1411179100161,32,265.0,31.0
42.363149,-104.9906,155015.8557085117,355.7565570588309,450.7618388352,32,265.0,31.0
42.363388,-104.990624,155042.50434925014,351.56306388000195,450.5246361599909,32,265.0,31.0
42.363657,-104.990678,155072.74303032554,346.440515938017,450.0084145904579,32,265.0,31.0
42.363994,-104.990788,155111.2901489323,345.36773671377006,449.2563771125729,32,265.0,31.0
42.365409,-104.991288,155273.9051714736,346.557893922797,447.65950874726707,32,265.0,31.0
42.36612,-104.991518,155355.1916068672,345.7916249056293,446.5521938534461,32,265.0,31.0
42.367153,-104.991872,155473.6806683755,345.4424119173864,445.6600334269379,32,265.0,31.0
42.367557,-104.992014,155520.0934891635,342.53891362243576,445.4024112000092,32,265.0,31.0
42.367961,-104.992186,155567.18624262649,340.07291827279863,444.8351246576518,32,265.0,31.0
42.368444,-104.992423,155624.31381040718,339.40965043106985,444.80696503909184,32,265.0,31.0
42.369327,-104.992872,155729.19923662455,338.4042638643966,443.8325125140511,32,265.0,31.0
42.369844,-104.993149,155791.02712901076,338.0295159238703,443.4655426775071,32,265.0,31.0
42.370148,-104.993315,155827.477549475,335.76865734828607,442.681289448957,32,265.0,31.0
42.370409,-104.993474,155859.30343355789,333.77822614487684,442.3688048801463,32,265.0,31.0
42.370697,-104.993666,155895.00123207277,330.6540764462573,442.1896972800214,32,265.0,31.0
42.371015,-104.993908,155935.56674585384,331.3376285046986,441.6430704230583,32,265.0,31.0
42.371411,-104.994201,155985.74927762125,330.4641982009567,441.05001482073607,32,265.0,31.0
42.371913,-104.994586,156049.90658348805,330.6905784704976,439.29753747226215,32,265.0,31.0
42.372267,-104.994855,156095.04826366223,332.6931906698146,439.09675342272,32,265.0,31.0
