E. Casper to Lander
Lat,Lon,Distance,Azimuth,Elevation,Cloud Cover,Wind Direction,Wind Speed
42.86721,-106.337497,0,8.093760681937109,494.37204395904,0,225.0,41.0
42.867545,-106.337432,37.625086121094775,276.64360757119783,494.45559963648003,0,225.0,41.0
42.867587,-106.337924,77.99310511335462,278.49807886076957,494.55340366540497,0,225.0,41.0
42.867731,-106.339239,186.35223718069483,278.5222371086768,492.6495358145372,0,225.0,41.0
42.86775,-106.339412,200.60874427356026,7.742650441967014,492.85291929599396,0,225.0,41.0
42.868661,-106.339243,302.8393536034414,6.422087509771911,492.22627487998784,0,225.0,41.0
42.869234,-106.339155,366.95639281216535,6.964254465165814,491.63580461568307,0,225.0,41.0
42.869264,-106.33915,370.3170354792948,6.532868100186833,491.63692823040003,0,225.0,41.0
42.869328,-106.33914,377.48002187750893,258.54093125864824,491.64712854528005,0,225.0,41.0
42.869172,-106.34019,464.7909582424405,255.43195022930027,492.8616,0,225.0,41.0
42.869016,-106.341009,533.7533304012143,251.06068953179778,492.03181248,0,225.0,41.0
42.868848,-106.341677,591.3086688292852,246.34263773288313,491.38246656000007,0,225.0,41.0
42.868717,-106.342085,627.6098891857492,240.8108324809262,491.7392310585569,0,225.0,41.0
42.8685,-106.342615,677.0858573376504,244.7319642392372,493.2968543999848,0,225.0,41.0
42.868235,-106.343381,746.1174495758793,242.57723190782087,492.753700799997,0,225.0,41.0
42.8681,-106.343736,778.7114591463521,242.50571633763604,492.6274940928,0,225.0,41.0
42.868026,-106.34393,796.5349749704206,241.37606495038403,492.60499058688004,0,225.0,41.0
42.868008,-106.343975,800.7129768753474,239.80195143405422,492.6612415488061,0,225.0,41.0
42.867587,-106.344962,893.7815176174317,239.42626351862594,494.052162747645,0,225.0,41.0
42.86728,-106.345671,960.8940965525575,240.68230710977656,493.3339453900892,0,225.0,41.0
42.867131,-106.346033,994.7303517889733,242.0215923931172,492.7458486155459,0,225.0,41.0
42.866992,-106.34639,1027.6758973075237,245.4396692609943,492.303171287043,0,225.0,41.0
42.866923,-106.346596,1046.1347153662591,246.1608561838808,492.04228550552995,0,225.0,41.0
42.866809,-106.346948,1077.4981330601454,246.94291089043725,492.255998195709,0,225.0,41.0
42.866697,-106.347307,1109.2964970137762,249.7799195880554,492.4217516056381,0,225.0,41.0
42.866626,-106.34757,1132.1384747902853,250.79435955776313,492.6336096000061,0,225.0,41.0
42.866542,-106.347899,1160.5319950882383,252.32695634696523,492.80190299366706,0,225.0,41.0
42.866464,-106.348233,1189.1011121057052,256.79741959276794,492.72862702540493,0,225.0,41.0
42.866426,-106.348454,1207.6014681816534,260.0927905752541,492.723852248061,0,225.0,41.0
42.86623,-106.349985,1334.2663026211908,260.7171084842479,491.9150935872,0,225.0,41.0
42.865979,-106.35208,1507.27449748313,259.78646806926804,492.2520565708739,0,225.0,41.0
42.865736,-106.35392,1659.649632140892,259.79106291309984,492.61925035008,0,225.0,41.0
42.865637,-106.35467,1721.7582644344636,259.6472485645729,492.73173130368,0,225.0,41.0
42.86516,-106.358232,2016.8694700337576,259.9678746199056,493.295635199997,0,224.0,41.0
42.864689,-106.361864,2317.479860599786,260.0982292228613,491.311703021568,0,224.0,41.0
42.864171,-106.365912,2652.390280630457,259.6309820338981,493.4630368220191,0,224.0,41.0
42.863967,-106.367433,2778.4138959802685,259.66661866339234,492.61881958233295,0,225.0,41.0
42.862893,-106.375467,3444.0130536595193,263.15491497645706,488.834559088896,0,225.0,41.0
42.862775,-106.376808,3554.094864610493,266.1538180709288,486.1574971776001,0,225.0,41.0
42.86272,-106.377924,3645.258975232867,269.47595078032657,484.71323188225216,0,225.0,41.0
42.862697,-106.381347,3924.2599227266824,269.6065062457534,480.44665323530364,2,225.0,41.0
42.862689,-106.382934,4053.6103412409616,269.42355244587304,479.559971357184,2,225.0,41.0
42.862602,-106.39465,5008.564717796659,265.277200219452,482.38477056000306,2,225.0,41.0
42.862563,-106.395294,5061.232434548837,264.059737206029,483.1258003200061,2,225.0,41.0
42.8625,-106.39612,5128.918667557238,256.89062155065915,483.4128,2,225.0,41.0
42.862359,-106.396946,5198.043062984206,254.48847507522765,483.8786563200061,2,225.0,41.0
42.862217,-106.397644,5257.083985089583,257.92072394624057,484.471231996416,2,225.0,41.0
42.862209,-106.397695,5261.334856701461,257.2792615446459,484.41370687296,2,225.0,41.0
42.86214,-106.398112,5296.177684057826,251.33163440142346,484.15622329344,2,225.0,41.0
42.861955,-106.398859,5360.443339887756,240.9231297463689,485.19846738624005,2,225.0,41.0
